ts::exclusive_with_required_unless_present_all ... ok
test flags::issue_2308_multiple_dashes ... ok
test flags::leading_dash_stripped - should panic ... ok
test flags::flag_using_long_with_literals ... ok
test flags::flag_using_short ... ok
test flags::multiple_flags_in_single ... ok
test flags::optional_value ... ok
test flags::unexpected_value_error ... ok
test flags::lots_o_flags_combined ... ok
test global_args::deeply_nested_discovery ... ok
test flags::lots_o_flags_sep ... ok
test global_args::global_arg_available_in_subcommand ... ok
test global_args::global_overrides_default ... ok
test global_args::issue_1076 ... ok
test global_args::global_overrides_env ... ok
test global_args::propagate_global_arg_in_subcommand_to_subsubcommand_1385 ... ok
test global_args::propagate_global_arg_to_subcommand_in_subsubcommand_2053 ... ok
test groups::conflict_with_overlapping_group_in_error ... ok
test groups::conflict_with_group ... ok
test groups::empty_group ... ok
test groups::arg_group_new_of_arg_name - should panic ... ok
test groups::group_acts_like_arg ... ok
test groups::group_empty ... ok
test groups::group_multiple_args_error ... ok
test groups::group_overrides_required ... ok
test groups::group_multi_value_single_arg ... ok
test groups::group_single_value ... ok
test groups::group_required_flags_empty ... ok
test groups::group_usage_use_val_name ... ok
test groups::groups_new_of_arg_name - should panic ... ok
test groups::non_existing_arg - should panic ... ok
test groups::req_group_usage_string ... ok
test groups::req_group_with_conflict_usage_string ... ok
test groups::required_group_missing_arg ... ok
test groups::req_group_with_conflict_usage_string_only_options ... ok
test groups::required_group_multiple_args ... ok
test groups::requires_group_with_overlapping_group_in_error ... ok
test groups::unique_group_name - should panic ... ok
test help::after_and_before_help_output ... ok
test help::after_help_no_args ... ok
test help::after_and_before_long_help_output ... ok
test help::arg_id_conflict_with_help - should panic ... ok
test help::arg_long_conflict_with_help - should panic ... ok
test help::arg_short_conflict_with_help - should panic ... ok
test help::args_with_last_usage ... ok
test help::complex_subcommand_help_output ... ok
test help::custom_heading_pos ... ok
test help::custom_headers_headers ... ok
test help::disable_help_flag_affects_help_subcommand ... ok
test help::disabled_help_flag ... ok
test help::disabled_help_flag_and_subcommand ... ok
test help::custom_help_headers_hide_args ... ok
test help::display_name_default ... ok
test help::args_negate_sc ... ok
test help::display_name_explicit ... ok
test help::complex_help_output ... ok
test help::display_name_subcommand_default ... ok
test help::display_name_subcommand_explicit ... ok
test help::dont_strip_padding_issue_5083 ... ok
test help::dont_propagate_version_to_help_subcommand ... ok
test help::dont_wrap_urls ... ok
test help::empty_default_value ... ok
test help::escaped_whitespace_values ... ok
test help::final_word_wrapping ... ok
test help::explicit_short_long_help ... ok
test help::flatten_arg_required ... ok
test help::flatten_basic ... ok
test help::flatten_help_cmd ... ok
test help::flatten_hidden_command ... ok
test help::flatten_long_help ... ok
test help::flatten_single_hidden_command ... ok
test help::flatten_short_help ... ok
test help::flatten_not_recursive ... ok
test help::flatten_with_args_conflicts_with_subcommands ... ok
test help::flatten_with_global ... ok
test help::flatten_with_external_subcommand ... ok
test help::flatten_without_subcommands ... ok
test help::flatten_with_subcommand_required ... ok
test help::global_args_should_not_show_on_help_message_for_help_help ... ok
test help::global_args_should_show_on_help_message_for_nested_subcommand ... ok
test help::flatten_recursive ... ok
test help::global_args_should_show_on_help_message_for_subcommand ... ok
test help::help_enum_arg_with_no_description ... ok
test help::global_args_should_show_on_toplevel_help_message ... ok
test help::help_no_subcommand ... ok
test help::help_multi_subcommand_error ... ok
test help::help_required_and_given ... ok
test help::help_required_and_given_for_subcommand ... ok
test help::help_required_and_no_args ... ok
test help::help_required_but_not_given_settings_after_args - should panic ... ok
test help::help_long ... ok
test help::help_required_but_not_given - should panic ... ok
test help::help_required_but_not_given_for_one_of_two_arguments - should panic ... ok
test help::help_short ... ok
test help::help_required_globally - should panic ... ok
test help::help_without_short ... ok
test help::help_subcommand ... ok
test help::help_required_globally_but_not_given_for_subcommand - should panic ... ok
test help::help_subcmd_help ... ok
test help::hidden_possible_vals ... ok
test help::hide_args ... ok
test help::hide_single_possible_val ... ok
test help::issue_1046_hide_scs ... ok
test help::hide_possible_vals ... ok
test help::hide_default_val ... ok
test help::issue_1487 ... ok
test help::issue_1364_no_short_options ... ok
test help::issue_1052_require_delim_help ... ok
test help::issue_2508_number_of_values_with_single_value_name ... ok
test help::issue_1642_long_help_spacing ... ok
test help::issue_1794_usage ... ok
test help::issue_626_unicode_cutoff ... ok
test help::issue_626_panic ... ok
test help::issue_777_wrap_all_things ... ok
test help::issue_688_hide_pos_vals ... ok
test help::long_about ... ok
test help::issue_702_multiple_values ... ok
test help::last_arg_mult_usage_req_with_sc ... ok
test help::last_arg_mult_usage ... ok
test help::last_arg_mult_usage_req ... ok
test help::multiple_custom_help_headers ... ok
test help::missing_positional_final_multiple ... ok
test help::missing_positional_final_required ... ok
test help::last_arg_mult_usage_with_sc ... ok
test help::mixed_argument_types ... ok
test help::next_line_arg_short ... ok
test help::mixed_argument_types_no_short ... ok
test help::mixed_argument_types_short_positional ... ok
test help::multi_level_sc_help ... ok
test help::no_wrap_default_help ... ok
test help::no_wrap_help ... ok
test help::next_line_command_wrapped ... ok
test help::next_line_command_short ... ok
test help::only_custom_heading_opts_no_args ... ok
test help::old_newline_chars ... ok
test help::old_newline_variables ... ok
test help::only_custom_heading_pos_no_args ... ok
test help::next_line_arg_wrapped ... ok
test help::override_help_flag_using_long ... ok
test help::override_help_flag_using_short ... ok
test help::option_usage_order ... ok
test help::override_help_about ... ok
test help::override_help_subcommand ... ok
test help::override_help_long ... ok
test help::override_help_short ... ok
test help::parent_cmd_req_ignored_when_conflicts ... ok
test help::parent_cmd_req_ignored_when_negates_reqs ... ok
test help::parent_cmd_req_in_usage_with_help_flag ... ok
test help::parent_cmd_req_in_usage_with_help_subcommand ... ok
test help::parent_cmd_req_in_usage_with_render_help ... ok
test help::positional_multiple_occurrences_is_dotted ... ok
test help::prefer_user_help_long_1112 ... ok
test help::prefer_user_help_short_1112 ... ok
test help::possible_vals_with_help ... ok
test help::positional_multiple_values_is_dotted ... ok
test help::prefer_about_over_long_about_in_subcommands_list ... ok
test help::possible_value_wrapped_help ... ok
test help::prefer_user_subcmd_help_long_1112 ... ok
test help::prefer_user_subcmd_help_short_1112 ... ok
test help::ripgrep_usage ... ok
test help::req_last_arg_usage ... ok
test help::ripgrep_usage_using_templates ... ok
test help::short_with_count ... ok
test help::short_with_value ... ok
test help::sc_negates_reqs ... ok
test help::show_long_about_issue_897 ... ok
test help::show_short_about_issue_897 ... ok
test help::subcmd_help_subcmd_help ... ok
test help::subcommand_help_doesnt_have_useless_help_flag ... ok
test help::too_few_value_names_is_dotted ... ok
test help::try_help_custom_flag ... ok
test help::too_many_value_names_panics - should panic ... ok
test help::try_help_custom_flag_no_action ... ok
test help::subcommand_long_help ... ok
test help::try_help_custom_flag_long ... ok
test help::try_help_custom_flag_short ... ok
test help::subcommand_help_rev ... ok
test help::try_help_default ... ok
test help::subcommand_short_help ... ok
test help::try_help_subcommand_custom_flag ... ok
test help::try_help_subcommand_custom_flag_no_action ... ok
test help::try_help_subcommand_default ... ok
test help::unwrapped_help ... ok
test help::wrapped_indentation ... ok
test help_env::hide_env ... ok
test help::wrapping_newline_variables ... ok
test help::wrapped_help ... ok
test help::visible_aliases_with_long_help ... ok
test help_env::hide_env_vals_flag ... ok
test help::wrapping_newline_chars ... ok
test help_env::hide_env_vals ... ok
test help_env::hide_env_flag ... ok
test help::visible_aliases_with_short_help ... ok
test help_env::show_env ... ok
test help_env::show_env_flag ... ok
test help_env::show_env_vals ... ok
test help_env::show_env_vals_flag ... ok
test hidden_args::hidden_arg_with_possible_value_with_help ... ok
test hidden_args::hide_args ... ok
test hidden_args::hide_long_args ... ok
test hidden_args::hide_opt_args_only ... ok
test hidden_args::hide_long_args_short_help ... ok
test hidden_args::hide_pos_args ... ok
test hidden_args::hide_pos_args_only ... ok
test hidden_args::hide_short_args ... ok
test hidden_args::hide_short_args_long_help ... ok
test hidden_args::hide_subcmds ... ok
test hidden_args::hide_subcmds_only ... ok
test ignore_errors::help_flag ... ok
test ignore_errors::did_you_mean ... ok
test ignore_errors::multiple_args_and_final_arg_without_value ... ok
test ignore_errors::help_flag_subcommand ... ok
test ignore_errors::multiple_args_and_intermittent_arg_without_value ... ok
test ignore_errors::single_long_arg_without_value ... ok
test ignore_errors::single_short_arg_without_value ... ok
test ignore_errors::subcommand ... ok
test ignore_errors::unexpected_argument ... ok
test ignore_errors::version_flag ... ok
test indices::index_flag ... ok
test indices::index_flags ... ok
test indices::index_mult_opts ... ok
test indices::indices_mult_flags ... ok
test indices::indices_mult_flags_combined ... ok
test indices::indices_mult_flags_opt_combined ... ok
test indices::indices_mult_flags_opt_combined_eq ... ok
test indices::indices_mult_opt_mult_flag ... ok
test indices::indices_mult_opt_value_delim_eq ... ok
test indices::indices_mult_opt_value_no_delim_eq ... ok
test indices::indices_mult_opts ... ok
test macros::arg_long_multiple_values - should panic ... ok
test macros::arg_long_dashed ... ok
test macros::arg_long ... ok
test macros::arg_multiple_values - should panic ... ok
test macros::arg_short - should panic ... ok
test macros::arg_long_optional_value ... ok
test macros::arg_long_required_value ... ok
test multiple_occurrences::multiple_occurrences_of_after_env ... ok
test macros::arg_named_dashed ... ok
test multiple_occurrences::multiple_occurrences_of_flags_long ... ok
test multiple_occurrences::multiple_occurrences_of_before_env ... ok
test macros::arg_named_long ... ok
test multiple_occurrences::multiple_occurrences_of_flags_short ... ok
test multiple_values::different_sep ... ok
test multiple_occurrences::multiple_occurrences_of_positional ... ok
test macros::arg_optional_value ... ok
test macros::arg_named_positional ... ok
test macros::arg_required_value ... ok
test multiple_values::escape_like_value_terminator ... ok
test multiple_values::disallow_positionals_without_values - should panic ... ok
test multiple_values::different_sep_positional ... ok
test multiple_values::issue_1480_max_values_consumes_extra_arg_1 ... ok
test multiple_values::escape_like_value_terminator_and_last ... ok
test multiple_values::issue_1480_max_values_consumes_extra_arg_2 ... ok
test multiple_values::escape_like_value_terminator_and_allow_hyphen_values ... ok
test multiple_values::issue_1480_max_values_consumes_extra_arg_3 ... ok
test multiple_values::low_index_positional ... ok
test multiple_values::issue_2229 ... ok
test multiple_values::low_index_positional_in_subcmd ... ok
test multiple_values::low_index_positional_last_multiple_too - should panic ... ok
test multiple_values::low_index_positional_not_required - should panic ... ok
test multiple_values::low_index_positional_with_extra_flags ... ok
test multiple_values::low_index_positional_too_far_back - should panic ... ok
test multiple_values::low_index_positional_with_flag ... ok
test multiple_values::low_index_positional_with_option ... ok
test multiple_values::multiple_positional_multiple_values ... ok
test multiple_values::multiple_vals_with_hyphen ... ok
test multiple_values::no_sep ... ok
test multiple_values::multiple_value_terminator_option ... ok
test multiple_values::no_sep_positional ... ok
test multiple_values::num_args_preferred_over_value_names ... ok
test multiple_values::multiple_value_terminator_positional ... ok
test multiple_values::option_exact_exact ... ok
test multiple_values::option_exact_exact_mult ... ok
test multiple_values::option_exact_exact_not_mult ... ok
test multiple_values::option_exact_less ... ok
test multiple_values::option_long ... ok
test multiple_values::option_exact_more ... ok
test multiple_values::option_max_exact ... ok
test multiple_values::option_max_less ... ok
test multiple_values::option_max_more ... ok
test multiple_values::option_max_zero ... ok
test multiple_values::option_max_zero_eq ... ok
test multiple_values::option_min_exact ... ok
test multiple_values::option_min_less ... ok
test multiple_values::option_mixed ... ok
test multiple_values::option_short ... ok
test multiple_values::option_short_min_more_mult_occurs ... ok
test multiple_occurrences::multiple_occurrences_of_flags_large_quantity ... ok
test multiple_values::option_short_min_more_single_occur ... ok
test multiple_values::positional ... ok
test multiple_values::positional_exact_exact ... ok
test multiple_values::optional_value ... ok
test multiple_values::positional_exact_less ... ok
test multiple_values::positional_max_exact ... ok
test multiple_values::positional_exact_more ... ok
test multiple_values::positional_max_less ... ok
test multiple_values::positional_min_exact ... ok
test multiple_values::positional_max_more ... ok
test multiple_values::positional_min_more ... ok
test multiple_values::positional_min_less ... ok
test multiple_values::req_delimiter_complex ... ok
test multiple_values::req_delimiter_long ... ok
test multiple_values::req_delimiter_long_with_equal ... ok
test multiple_values::req_delimiter_short_with_equal ... ok
test multiple_values::req_delimiter_short_with_no_space ... ok
test multiple_values::req_delimiter_short_with_space ... ok
test multiple_values::sep_long_equals ... ok
test multiple_values::sep_long_space ... ok
test multiple_values::sep_positional ... ok
test multiple_values::sep_short_equals ... ok
test multiple_values::sep_short_no_space ... ok
test multiple_values::sep_short_space ... ok
test multiple_values::value_names_building_num_vals ... ok
test multiple_values::value_names_building_num_vals_for_positional ... ok
test multiple_values::value_terminator_has_higher_precedence_than_allow_hyphen_values ... ok
test multiple_values::values_per_occurrence_named ... ok
test multiple_values::values_per_occurrence_positional ... ok
test occurrences::grouped_interleaved_positional_occurrences ... ok
test occurrences::grouped_interleaved_positional_values ... ok
test occurrences::grouped_value_long_flag_delimiter ... ok
test occurrences::grouped_value_multiple_positional_arg ... ok
test occurrences::grouped_value_multiple_positional_arg_last_multiple ... ok
test occurrences::grouped_value_positional_arg ... ok
test occurrences::grouped_value_short_flag_delimiter ... ok
test occurrences::grouped_value_works ... ok
test occurrences::issue_1026 ... ok
test opts::default_values_user_value ... ok
test occurrences::issue_2171 ... ok
test opts::double_hyphen_as_value ... ok
test opts::infer_long_arg_fail_conflicts ... ok
test opts::did_you_mean ... ok
test opts::infer_long_arg_pass_conflicting_aliases ... ok
test opts::infer_long_arg_pass ... ok
test opts::infer_long_arg_pass_conflicts_exact_match ... ok
test opts::issue_1047_min_zero_vals_default_val ... ok
test opts::issue_1105_empty_value_long_equals ... ok
test opts::issue_1073_suboptimal_flag_suggestion ... ok
test opts::issue_1105_empty_value_long_explicit ... ok
test opts::issue_1105_empty_value_long_fail ... ok
test opts::issue_1105_empty_value_short_equals ... ok
test opts::issue_1105_empty_value_short_explicit ... ok
test opts::issue_1105_empty_value_short_explicit_no_space ... ok
test opts::issue_1105_empty_value_short_fail ... ok
test opts::issue_2022_get_flags_misuse ... ok
test opts::issue_2279 ... ok
test opts::leading_hyphen_fail ... ok
test opts::leading_hyphen_pass ... ok
test opts::leading_hyphen_with_flag_after ... ok
test opts::leading_hyphen_with_flag_before ... ok
test opts::leading_hyphen_with_only_pos_follows ... ok
test opts::long_eq_val_starts_with_eq ... ok
test opts::multiple_vals_pos_arg_equals ... ok
test opts::opts_using_long_equals ... ok
test opts::opts_using_long_space ... ok
test opts::opts_using_mixed ... ok
test opts::lots_o_vals ... ok
test opts::opts_using_mixed2 ... ok
test opts::opts_using_short ... ok
test opts::require_delims ... ok
test opts::require_delims_no_delim ... ok
test opts::require_equals_empty_vals_pass ... ok
test opts::require_equals_fail ... ok
test opts::require_equals_fail_message ... ok
test opts::require_equals_min_values_zero ... ok
test opts::require_equals_no_empty_values_fail ... ok
test opts::require_equals_pass ... ok
test opts::short_eq_val_starts_with_eq ... ok
test opts::short_non_ascii_no_space ... ok
test opts::stdin_char ... ok
test positionals::create_positional ... ok
test positionals::ignore_hyphen_values_on_last ... ok
test positionals::issue_946 ... ok
test positionals::last_positional ... ok
test positionals::last_positional_no_double_dash ... ok
test positionals::last_positional_second_to_last_mult ... ok
test positionals::missing_required_2 ... ok
test positionals::missing_required - should panic ... ok
test positionals::multiple_positional_one_required_usage_string ... ok
test positionals::lots_o_vals ... ok
test positionals::multiple_positional_usage_string ... ok
test positionals::only_pos_follow ... ok
test positionals::positional ... ok
test positionals::positional_hyphen_does_not_panic ... ok
test positionals::positional_multiple ... ok
test positionals::positional_arg_with_short - should panic ... ok
test positionals::positional_arg_with_long - should panic ... ok
test positionals::positional_multiple_2 ... ok
test positionals::positional_multiple_3 ... ok
test positionals::positional_possible_values ... ok
test positionals::single_positional_multiple_usage_string ... ok
test positionals::single_positional_required_usage_string ... ok
test positionals::single_positional_usage_string ... ok
test posix_compatible::conflict_overridden ... ok
test posix_compatible::conflict_overridden_2 ... ok
test posix_compatible::conflict_overridden_4 ... ok
test posix_compatible::conflict_overridden_3 ... ok
test posix_compatible::flag_overrides_itself ... ok
test posix_compatible::incremental_override ... ok
test posix_compatible::option_overrides_itself ... ok
test posix_compatible::pos_required_overridden_by_flag ... ok
test posix_compatible::posix_compatible_flags_long ... ok
test posix_compatible::posix_compatible_flags_long_rev ... ok
test posix_compatible::posix_compatible_flags_short ... ok
test posix_compatible::overrides_with_invalid_arg - should panic ... ok
test posix_compatible::posix_compatible_flags_short_rev ... ok
test posix_compatible::posix_compatible_opts_long ... ok
test posix_compatible::posix_compatible_opts_long_equals ... ok
test posix_compatible::posix_compatible_opts_long_equals_rev ... ok
test posix_compatible::posix_compatible_opts_long_rev ... ok
test posix_compatible::posix_compatible_opts_short ... ok
test posix_compatible::posix_compatible_opts_short_rev ... ok
test posix_compatible::require_overridden_2 ... ok
test posix_compatible::require_overridden_3 ... ok
test posix_compatible::require_overridden_4 ... ok
test possible_values::alias ... ok
test possible_values::aliases ... ok
test possible_values::escaped_possible_values_output ... ok
test possible_values::ignore_case ... ok
test possible_values::ignore_case_fail ... ok
test possible_values::expensive::no_iterate_when_hidden ... ok
test possible_values::expensive::iterate_when_displayed ... ok
test possible_values::ignore_case_multiple ... ok
test possible_values::ignore_case_multiple_fail ... ok
test possible_values::possible_value_arg_value ... ok
test possible_values::missing_possible_value_error ... ok
test possible_values::possible_values_alias_output ... ok
test possible_values::possible_values_hidden_output ... ok
test possible_values::possible_values_of_option ... ok
test possible_values::possible_values_of_option_fail ... ok
test possible_values::possible_values_of_option_multiple ... ok
test possible_values::possible_values_of_option_multiple_fail ... ok
test possible_values::possible_values_of_positional ... ok
test possible_values::possible_values_of_positional_fail ... ok
test possible_values::possible_values_of_positional_multiple ... ok
test possible_values::possible_values_of_positional_multiple_fail ... ok
test possible_values::possible_values_output ... ok
test propagate_globals::global_arg_default_value ... ok
test propagate_globals::global_arg_used_inner ... ok
test propagate_globals::global_arg_used_outer ... ok
test propagate_globals::global_arg_used_top_level ... ok
test require::arg_require_group_2 ... ok
test require::arg_require_group_3 ... ok
test require::arg_require_group ... ok
test require::flag_required ... ok
test propagate_globals::global_flag_2x_used_inner ... ok
test require::flag_required_2 ... ok
test require::group_required_2 ... ok
test require::group_required_3 ... ok
test require::group_required ... ok
test propagate_globals::global_flag_2x_used_top_level ... ok
test propagate_globals::global_flag_used_inner ... ok
test propagate_globals::global_flag_used_outer ... ok
test propagate_globals::global_flag_used_top_level ... ok
test require::group_requires_with_default_value ... ok
test require::issue_1158_conflicting_requirements_rev ... ok
test require::issue_1158_conflicting_requirements ... ok
test require::issue_1643_args_mutually_require_each_other ... ok
test require::issue_2624 ... ok
test require::issue_753 ... ok
test require::multiple_required_unless_usage_printing ... ok
test require::list_correct_required_args ... ok
test require::option_required ... ok
test require::option_required_2 ... ok
test require::positional_required ... ok
test require::missing_required_output ... ok
test require::positional_required_2 ... ok
test require::positional_required_with_requires ... ok
test require::positional_required_with_requires_if_no_value ... ok
test require::positional_required_with_requires_if_value ... ok
test require::require_eq ... ok
test require::require_eq_filtered ... ok
